old_iri,new_iri
http://purl.obolibrary.org/obo/RO_0000052,http://purl.obolibrary.org/obo/BFO_0000197
http://purl.obolibrary.org/obo/RO_0000053,http://purl.obolibrary.org/obo/BFO_0000196
http://purl.obolibrary.org/obo/RO_0000056,http://purl.obolibrary.org/obo/BFO_0000056
http://purl.obolibrary.org/obo/RO_0000057,http://purl.obolibrary.org/obo/BFO_0000057
http://purl.obolibrary.org/obo/RO_0000058,http://purl.obolibrary.org/obo/BFO_0000058
http://purl.obolibrary.org/obo/RO_0000059,http://purl.obolibrary.org/obo/BFO_0000059
http://purl.obolibrary.org/obo/BFO_0000067,http://purl.obolibrary.org/obo/BFO_0000183
http://purl.obolibrary.org/obo/RO_0001015,http://purl.obolibrary.org/obo/BFO_0000124
http://purl.obolibrary.org/obo/RO_0001025,http://purl.obolibrary.org/obo/BFO_0000171
http://purl.obolibrary.org/obo/RO_0002350,http://purl.obolibrary.org/obo/BFO_0000129
http://purl.obolibrary.org/obo/RO_0002351,http://purl.obolibrary.org/obo/BFO_0000115
http://purl.obolibrary.org/obo/RO_0010001,http://purl.obolibrary.org/obo/BFO_0000084
http://purl.obolibrary.org/obo/RO_0010002,http://purl.obolibrary.org/obo/BFO_0000101
http://www.ontologyrepository.com/CommonCoreOntologies/occurs_on,http://purl.obolibrary.org/obo/BFO_0000199
http://www.ontologyrepository.com/CommonCoreOntologies/is_starting_instant_of,http://purl.obolibrary.org/obo/BFO_0000221
http://www.ontologyrepository.com/CommonCoreOntologies/has_starting_instant,http://purl.obolibrary.org/obo/BFO_0000222
http://www.ontologyrepository.com/CommonCoreOntologies/is_ending_instant_of,http://purl.obolibrary.org/obo/BFO_0000223
http://www.ontologyrepository.com/CommonCoreOntologies/has_ending_instant,http://purl.obolibrary.org/obo/BFO_0000224
http://purl.obolibrary.org/obo/RO_0000079,http://purl.obolibrary.org/obo/BFO_0000197
http://purl.obolibrary.org/obo/RO_0000080,http://purl.obolibrary.org/obo/BFO_0000197
http://purl.obolibrary.org/obo/RO_0000081,http://purl.obolibrary.org/obo/BFO_0000197
http://purl.obolibrary.org/obo/RO_0000092,http://purl.obolibrary.org/obo/BFO_0000197
http://purl.obolibrary.org/obo/RO_0000085,http://purl.obolibrary.org/obo/BFO_0000196
http://purl.obolibrary.org/obo/RO_0000086,http://purl.obolibrary.org/obo/BFO_0000196
http://purl.obolibrary.org/obo/RO_0000087,http://purl.obolibrary.org/obo/BFO_0000196
http://purl.obolibrary.org/obo/RO_0000091,http://purl.obolibrary.org/obo/BFO_0000196
